noise_rate,fidelity,entropy,purity,entropy_derivative
0.2700000000000001,0.6057999999999992,0.9674565374046709,0.5223872799999998,0.6094854044049075
0.2800000000000001,0.5967999999999992,0.9727917240659574,0.5187404799999997,0.5335186661286513
0.2900000000000001,0.5881999999999994,0.9774359752245163,0.5155584799999997,0.4644251158558928
0.3000000000000001,0.5799999999999994,0.9814538950336538,0.5128,0.4017919809137457
0.3100000000000001,0.572199999999999,0.9849062111109184,0.5104256799999998,0.3452316077264591
0.3200000000000001,0.5647999999999993,0.9878499850137392,0.5083980799999998,0.29437739028208537
0.3300000000000001,0.5577999999999995,0.990338788174722,0.5066816799999998,0.24888031609827643
0.34000000000000014,0.5511999999999995,0.9924228484336177,0.5052428800000002,0.2084060258895735
0.35000000000000014,0.5449999999999997,0.9941491714808932,0.5040499999999998,0.17263230472754892
0.36000000000000015,0.5391999999999993,0.995561640871574,0.5030732799999997,0.1412469390680736
0.37000000000000016,0.5337999999999996,0.9967010997397904,0.5022848799999997,0.11394588682164243
0.38000000000000017,0.5287999999999994,0.9976054169152692,0.5016588799999998,0.09043171754787852
0.3900000000000002,0.5241999999999998,0.9983095397906141,0.5011712799999998,0.07041228753449362
0.4000000000000002,0.5199999999999996,0.9988455359952019,0.5007999999999998,0.05359962045877737
0.4100000000000002,0.5162,0.9992426256842546,0.5005248799999997,0.039708968905272056
0.4200000000000002,0.5127999999999996,0.9995272060393939,0.50032768,0.028458035513934086
0.4300000000000002,0.5097999999999998,0.9997228693912061,0.5001920800000003,0.01956633518122029
0.4400000000000002,0.5071999999999997,0.9998504162082946,0.5001036799999999,0.012754681708848624
0.45000000000000023,0.5049999999999997,0.9999278640456617,0.5000499999999999,0.007744783736707277
0.46000000000000024,0.5031999999999999,0.9999704534038558,0.5000204800000002,0.004258935819412276
0.47000000000000025,0.5017999999999996,0.9999906513159418,0.5000064799999999,0.002019791208596187
0.48000000000000026,0.5007999999999998,0.9999981533495597,0.50000128,7.502033617878816E-4
0.49000000000000027,0.5001999999999999,0.9999998845843938,0.5000000799999997,1.7312348341569345E-4
0.5000000000000002,0.4999999999999998,1.0,0.4999999999999998,1.154156061833339E-5
0.5100000000000002,0.5001999999999999,0.9999998845843937,0.50000008,-1.1541560629435555E-5
0.5200000000000002,0.5007999999999998,0.9999981533495599,0.5000012799999998,-1.7312348338238676E-4
0.5300000000000002,0.5017999999999996,0.9999906513159419,0.5000064799999999,-7.502033617989839E-4
0.5400000000000003,0.5031999999999995,0.999970453403856,0.5000204799999998,-0.002019791208585085
0.5500000000000003,0.5049999999999997,0.9999278640456617,0.5000499999999998,-0.0042589358194344805
0.5600000000000003,0.5071999999999997,0.9998504162082947,0.5001036799999998,-0.007744783736696174
0.5700000000000003,0.5097999999999996,0.9997228693912064,0.5001920799999996,-0.012754681708837522
0.5800000000000003,0.5127999999999993,0.999527206039394,0.5003276799999996,-0.01956633518123139
0.5900000000000003,0.5161999999999997,0.9992426256842545,0.5005248799999997,-0.02845803551395629
0.6000000000000003,0.5199999999999998,0.9988455359952018,0.5008,-0.039708968905272056
0.6100000000000003,0.5241999999999996,0.9983095397906141,0.5011712799999998,-0.05359962045876627
0.6200000000000003,0.5287999999999999,0.9976054169152689,0.50165888,-0.07041228753451582
0.6300000000000003,0.5337999999999998,0.9967010997397905,0.5022848799999998,-0.09043171754784521
0.6400000000000003,0.5391999999999999,0.9955616408715737,0.5030732800000001,-0.11394588682167574
0.6500000000000004,0.5449999999999997,0.9941491714808932,0.5040499999999996,-0.14124693906805139
0.6600000000000004,0.5511999999999999,0.9924228484336179,0.5052428799999998,-0.17263230472752672
0.6700000000000004,0.5577999999999996,0.9903387881747219,0.5066816799999996,-0.2084060258896068
0.6800000000000004,0.5647999999999994,0.987849985013739,0.5083980799999999,-0.24888031609828754
0.6900000000000004,0.5721999999999997,0.9849062111109183,0.5104256800000001,-0.29437739028207427
0.7000000000000004,0.5799999999999996,0.9814538950336538,0.5127999999999999,-0.345231607726448
0.7100000000000004,0.5881999999999997,0.977435975224516,0.5155584799999999,-0.401791980913779
0.7200000000000004,0.5968000000000004,0.9727917240659572,0.51874048,-0.4644251158558817
0.7300000000000004,0.6057999999999997,0.9674565374046707,0.5223872799999999,-0.5335186661286402
0.7400000000000004,0.6152000000000006,0.9613616833606216,0.52654208,-0.6094854044049186
0.7500000000000004,0.6249999999999998,0.9544340029249647,0.53125,-0.6927680435656829
0.7600000000000005,0.6352,0.9465955531569445,0.53655808,-0.7838449768020166
0.7700000000000005,0.6458000000000006,0.9377631815984122,0.54251528,-0.8832371558532329
0.7800000000000005,0.6567999999999996,0.9278480176639428,0.5491724800000001,-0.9915163934469442
0.7900000000000005,0.6681999999999997,0.9167548629930665,0.5565824800000001,-1.1093154670876229
0.8000000000000005,0.6799999999999998,0.9043814577244933,0.5648000000000002,-1.2373405268573212
0.8100000000000005,0.6921999999999998,0.8906175928719029,0.5738816800000002,-1.3763864852590388
0.8200000000000005,0.7048000000000001,0.8753440297133124,0.5838860800000003,-1.5273563158590506
